date,index_close,index_change,index_change_pct,market_dir,note,news_count,news_titles,news_sent_score,news_dir,div_dir
2026-03-01,0.0,0.0,0.0,0.0,,0,,0.0,0,0.0
2026-03-02,0.0,0.0,0.0,0.0,,1,"上週外資在集中市場買超1,016.70億元，買超群創37.14萬張最多，另賣超旺宏7.85萬張最多",0.0,0,0.0
2026-03-03,0.0,0.0,0.0,0.0,,1,上市公司114年度財務報告公告申報期限及注意事項,0.0,0,0.0
2026-03-04,0.0,0.0,0.0,0.0,,1,國際地緣政治風險升溫，臺股基本面穩健具韌性,-0.5,-1,-0.0
2026-03-05,0.0,0.0,0.0,0.0,,3,證交所前進美國引資招商，力拓「亞洲資產管理中心」及「亞洲創新籌資平台」雙目標；臺灣證券交易所訂於3月9日召開有價證券上市審議委員會第881次會議，將審議英屬開曼群島商漢康生技(股)公司之申請股票創新板上市案；從生活到產業鏈：一檔璞玉指數完備台灣經濟全景圖,0.0,0,0.0
2026-03-06,0.0,0.0,0.0,0.0,,4,臺灣證券交易所獲亞洲資產管理雜誌之亞太區最佳ETF交易所大獎；本週發行量加權股價指數跌幅約為5.12%，上市股票總市值達109.53兆元；2026年02月集中市場相關數據；攜手國際推動性別平權，證交所響應2026年「性別平等敲鐘」活動,-0.25,-1,-0.0
2026-03-07,0.0,0.0,0.0,0.0,,0,,0.0,0,0.0
2026-03-08,0.0,0.0,0.0,0.0,,0,,0.0,0,0.0
2026-03-09,0.0,0.0,0.0,0.0,,3,"臺灣證券交易所有價證券上市審議委員會審議通過英屬開曼群島商漢康生技股份有限公司(HanchorBio Inc.)初次申請股票創新板第一上市案；國際情勢影響市場波動 臺股基本面穩健、投資人理性評估；上週外資在集中市場賣超3,170.43億元，賣超台新新光金16.66萬張最多，另買超聯電3.68萬張最多",0.0,0,0.0
2026-03-10,0.0,0.0,0.0,0.0,,2,證交所提醒上市公司參酌「○○股份有限公司股東會議事規則」參考範例之修正，於今年度股東會修正相關股東會議事規則；臺灣證券交易所針對北極星藥業集團股份有限公司（北極星藥業-KY，公司代號：6550）違反重大訊息規定，處以新臺幣伍萬元之違約金,-0.5,-1,-0.0
2026-03-11,0.0,0.0,0.0,0.0,,2,臺灣證券交易所針對日成控股股份有限公司（日成-KY，公司代號:4807）違反重大訊息規定，處以新臺幣參萬元之違約金；全體上市公司(不含金融保險業及三商投資控股股份有限公司)115年2月份當月營收較114年同期成長13.94％，累計營業收入較114年同期成長22.45％,0.5,1,0.0
2026-03-12,0.0,0.0,0.0,0.0,,2,振大環球股份有限公司股票自本（115）年3月13日起得為融資融券交易；臺灣證券交易所對惠特科技股份有限公司（公司代號：6706）違反重大訊息、重大訊息記者會以及內部控制制度規定，處以新台幣20萬元違約金,-0.5,-1,-0.0
2026-03-13,0.0,0.0,0.0,0.0,,3,本週發行量加權股價指數跌幅約為0.59%，上市股票總市值達108.88兆元；臺灣證券交易所對銘旺科技股份有限公司違反重大訊息規定，處以新台幣3萬元違約金；證交所校園徵才南北大串聯！首度前進「南區就業博覽會」延攬人才,-0.6666666666666666,-1,-0.0
2026-03-14,0.0,0.0,0.0,0.0,,0,,0.0,0,0.0
2026-03-15,0.0,0.0,0.0,0.0,,0,,0.0,0,0.0
2026-03-16,0.0,0.0,0.0,0.0,,9,"115年第1季得為上市認購（售）權證（含牛熊證）之標的證券；實收資本額達新臺幣100億元以上及金融保險業之上市公司114年度財務報告均已完成申報作業；臺灣證券交易所對弘憶國際股份有限公司違反重大訊息規定，處以新台幣3萬元違約金；證交所赴美交流成果豐碩，為建構「亞洲資產管理中心」取得具體成效；臺灣證券交易所對大豐有線電視股份有限公司違反重大訊息及內部控制制度規定，處以新台幣20萬元違約金；115年3月17日除息影響加權股價指數；上週外資在集中市場賣超2,378.67億元，賣超中石化10.03萬張最多，另買超友達14.61萬張最多；民盛(證券代號：7811)採競價拍賣方式辦理承銷，於3月16日順利完成；宏碁遊戲(證券代號：6908)採競價拍賣方式辦理承銷，於3月16日順利完成",-0.2222222222222222,-1,-0.0
2026-03-17,0.0,0.0,0.0,0.0,,3,展現穩健韌性 臺灣璞玉指數開啟中小型股投資新思維；臺灣證券交易所針對淘帝國際控股有限公司（淘帝-KY，證券代號: 2929）違反重大訊息規定，處以新臺幣3萬元之違約金；世紀風電 (證券代號：2072)採競價拍賣方式辦理承銷，於3月17日順利完成,-0.3333333333333333,-1,-0.0
2026-03-18,0.0,0.0,0.0,0.0,,3,臺灣證券交易所對銘旺科技股份有限公司違反重大訊息規定，處以新台幣3萬元違約金；期元大S&P黃金反1ETF(00674R)將進行反分割作業，115年4月22日為新受益憑證上市買賣日；證交所推動璞玉指數商品化 引領ETF布局中小型優質企業新方向,-0.3333333333333333,-1,-0.0
2026-03-19,33689.68,658.9,-1.92,-1.0,,3,華南永昌投信募集發行之華南永昌NASDAQ 100科技ETF，自115年3月23日起掛牌上市，並得辦理融資融券；公勝保經(證券代號：6028)採競價拍賣方式辦理承銷，於3月19日順利完成；倍利科(證券代號：7822)採競價拍賣方式辦理承銷，於3月19日順利完成,0.0,0,-0.0
