date,news_count,news_titles,news_sent_score
2026-01-02,3,本週發行量加權股價指數漲幅約為2.78%，上市股票總市值達95.61兆元；上市公司執行買回庫藏股情形；「IPO/SPO資訊揭露專區」優化網站正式上線,0.0
2026-01-05,4,臺灣證券交易所積極推動「Power Up 提升企業價值計畫」  助力上市公司迎向國際競爭，壯大臺灣資本市場；第一金投信募集發行之「第一金台股趨勢優選主動式ETF」，自115年1月7日起掛牌上市；今(115)年股東常會本(5)日開放登記；上週外資在集中市場買超254.81億元，買超元大金10.89萬張最多，另賣超玉山金7.87萬張最多,0.0
2026-01-06,1,日盛台駿國際租賃股份有限公司甲種特別股現金增資股款繳納憑證自115年1月7日開始上市買賣,0.0
2026-01-07,2,長廣(證券代號：7795)採競價拍賣方式辦理承銷，於今(1/7)日順利完成；輝創(證券代號：6722)採競價拍賣方式辦理承銷，於今(1/7)日順利完成,0.0
2026-01-08,3,證交所115年1月8日（星期四）舉辦「114年度中介機構頒獎典禮暨新上市家族聯誼會」圓滿成功；臺灣證券交易所成功推動「臺灣首家美國店頭市場跨境交易」 直接面向國際投資人，拓展全球能見度；立足亞洲核心、連結全球創新：五大策略打造亞洲資產管理中心,0.0
2026-01-09,1,本週發行量加權股價指數漲幅約為3.20%，上市股票總市值達98.69兆元,0.0
2026-01-12,2,創新板制度全面升級 2026鎖定前瞻產業 加速邁向「亞洲資產管理中心」；上週外資在集中市場賣超434.33億元，賣超友達9.88萬張最多，另買超聯電18.92萬張最多,0.0
2026-01-13,6,普惠金融持續進化，打造全民皆可參與的友善投資環境；2025年12月暨第四季集中市場相關數據；旅天下(證券代號：6961)採競價拍賣方式辦理承銷，於今(1/13)日順利完成；大東電(證券代號：1623)採競價拍賣方式辦理承銷，於今(1/13)日順利完成；億而得(證券代號：6423)採競價拍賣方式辦理承銷，於今(1/13)日順利完成；全體上市公司114年12月份當月營收較113年同期成長21％，累計營業收入較113年同期成長13.82％,0.3333333333333333
2026-01-14,2,臺灣證券交易所針對寶綠特資源再生工程股份有限公司（寶綠特-KY，證券代號: 6887）違反重大訊息規定，處以新臺幣伍萬元之違約金；2025年國內上市動能強勁　資本市場發展再創重要里程碑,-0.5
2026-01-15,1,輝創電子股份有限公司及長廣精機股份有限公司股票自115年1月16日開始上市買賣,0.0
2026-01-16,4,億而得微電子股份有限公司(公司簡稱：億而得-創，公司代號：6423)有價證券將於115年1月22日終止上市；臺灣證券交易所針對鼎炫投資控股股份有限公司（鼎炫-KY，證券代號: 8499）違反重大訊息規定，處以新臺幣5萬元之違約金；本週發行量加權股價指數漲幅約為3.70%，上市股票總市值達102.35兆元；證交所組織調整：「數位資安部」佈局AI時代　「金融商品部」驅動市場未來,-0.25
